Assessment Name,Short Description,URL
Microsoft SQL Server 2014 Programming,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/
Cardiology and Diabetes Management (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/
Accounts Receivable Simulation (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/
Reading Comprehension - English v1,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/
Universal Competency Framework Profiler Cards (44),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/universal-competency-framework-profiler-cards-44/
Basic Computer Literacy (Windows 10) (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/
Automata - Fix (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/automata-fix-new/
SAP Basis (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/sap-basis-new/
Struts (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/struts-new/
Bilingual Spanish Reservation Agent Solution,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/
SAP ABAP (Intermediate Level) (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/sap-abap-intermediate-level-new/
OPQ MQ Sales Report,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/
SQL Server Reporting Services (SSRS) (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/sql-server-reporting-services-ssrs-new/
Basic Statistics (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/basic-statistics-new/
Front Office Management (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/front-office-management-new/
OPQ Emotional Intelligence Report,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/
Verify Interactive Ability Report,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/verify-interactive-ability-report/
CSS3 (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/css3-new/
Customer Service Phone Simulation,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/
Maven (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/maven-new/
Sales Interview Guide,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/sales-interview-guide/
Interpersonal Communications,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/interpersonal-communications/
SAP SD (Sales and Distribution) (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/sap-sd-sales-and-distribution-new/
Occupational Personality Questionnaire OPQ32r,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/
OPQ Maximising your Learning Report,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/
OPQ Profile Report,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/opq-profile-report/
Programming Concepts,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/programming-concepts/
General Diseases (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/general-diseases-new/
Multitasking Ability,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/multitasking-ability/
Apache Hadoop (New),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/apache-hadoop-new/
Interviewing and Hiring Concepts (U.S.),If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/
Split Screen Typing Test - Form 1,If you choose to continue with your current browser we cannot guarantee your experience.,https://www.shl.com/products/product-catalog/view/split-screen-typing-test-form-1/
