Assessment Name,Short Description,URL,text_for_embedding,assessment_type
Microsoft SQL Server 2014 Programming,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/microsoft-sql-server-2014-programming/,Microsoft SQL Server 2014 Programming. Assessment for evaluating specific skills and competencies,Technical Skills
Cardiology and Diabetes Management (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/cardiology-and-diabetes-management-new/,Cardiology and Diabetes Management (New). Assessment for evaluating specific skills and competencies,General
Accounts Receivable Simulation (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Accounts Receivable Simulation (New). Assessment for evaluating specific skills and competencies,Simulation
Reading Comprehension - English v1,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/,Reading Comprehension - English v1. Assessment for evaluating specific skills and competencies,Language
Universal Competency Framework Profiler Cards (44),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,Universal Competency Framework Profiler Cards (44). Assessment for evaluating specific skills and competencies,General
Basic Computer Literacy (Windows 10) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/basic-computer-literacy-windows-10-new/,Basic Computer Literacy (Windows 10) (New). Assessment for evaluating specific skills and competencies,General
Automata - Fix (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/automata-fix-new/,Automata - Fix (New). Assessment for evaluating specific skills and competencies,General
SAP Basis (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sap-basis-new/,SAP Basis (New). Assessment for evaluating specific skills and competencies,General
Struts (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/struts-new/,Struts (New). Assessment for evaluating specific skills and competencies,General
Bilingual Spanish Reservation Agent Solution,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Bilingual Spanish Reservation Agent Solution. Assessment for evaluating specific skills and competencies,General
SAP ABAP (Intermediate Level) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sap-abap-intermediate-level-new/,SAP ABAP (Intermediate Level) (New). Assessment for evaluating specific skills and competencies,General
OPQ MQ Sales Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-mq-sales-report/,OPQ MQ Sales Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
SQL Server Reporting Services (SSRS) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,SQL Server Reporting Services (SSRS) (New). Assessment for evaluating specific skills and competencies,General
Basic Statistics (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/basic-statistics-new/,Basic Statistics (New). Assessment for evaluating specific skills and competencies,General
Front Office Management (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/front-office-management-new/,Front Office Management (New). Assessment for evaluating specific skills and competencies,General
OPQ Emotional Intelligence Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-emotional-intelligence-report/,OPQ Emotional Intelligence Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
Verify Interactive Ability Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-interactive-ability-report/,Verify Interactive Ability Report. Assessment for evaluating specific skills and competencies,Cognitive
CSS3 (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/css3-new/,CSS3 (New). Assessment for evaluating specific skills and competencies,General
Customer Service Phone Simulation,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/customer-service-phone-simulation/,Customer Service Phone Simulation. Assessment for evaluating specific skills and competencies,Simulation
Maven (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/maven-new/,Maven (New). Assessment for evaluating specific skills and competencies,General
Sales Interview Guide,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sales-interview-guide/,Sales Interview Guide. Assessment for evaluating specific skills and competencies,General
Interpersonal Communications,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,Interpersonal Communications. Assessment for evaluating specific skills and competencies,General
SAP SD (Sales and Distribution) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sap-sd-sales-and-distribution-new/,SAP SD (Sales and Distribution) (New). Assessment for evaluating specific skills and competencies,General
Occupational Personality Questionnaire OPQ32r,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,Occupational Personality Questionnaire OPQ32r. Assessment for evaluating specific skills and competencies,Personality & Behavior
OPQ Maximising your Learning Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-maximising-your-learning-report/,OPQ Maximising your Learning Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
OPQ Profile Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-profile-report/,OPQ Profile Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
Programming Concepts,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/programming-concepts/,Programming Concepts. Assessment for evaluating specific skills and competencies,Technical Skills
General Diseases (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/general-diseases-new/,General Diseases (New). Assessment for evaluating specific skills and competencies,General
Multitasking Ability,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/multitasking-ability/,Multitasking Ability. Assessment for evaluating specific skills and competencies,General
Apache Hadoop (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,Apache Hadoop (New). Assessment for evaluating specific skills and competencies,General
Interviewing and Hiring Concepts (U.S.),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/interviewing-and-hiring-concepts-u-s/,Interviewing and Hiring Concepts (U.S.). Assessment for evaluating specific skills and competencies,General
